PolledNickname,MatchedUsername,Level,Country,IsPayer
Carnation16,Carnation16,53,TH,1
Castix,Castix,44,ID,0
CaTfIsHkInG330,CaTfIsHkInG330,83,US,1
Catnapp,Catnapp,50,US,0
CauVangBuDa,CauVangBuDa,74,VN,1
Caveman95,Caveman95,70,GB,1
cbone3,,,,0
CCoombsy,CCoombsy,4,US,0
CeBeDe,CeBeDe,106,FR,0
Cedii,Cedii,94,DE,1
CelebratedSquidSaint,CelebratedSquidSaint,73,AU,1
CeoPerantauLaut,CeoPerantauLaut,103,MY,1
CGH_Pakiko,,,,0
CH0RIZ0_JR,CH0RIZ0_JR,92,FR,1
Chaoslord_Darknorth,Chaoslord_Darknorth,77,NO,1
CharmingPondRenegade,CharmingPondRenegade,22,US,0
ChavitoPescador,ChavitoPescador,106,UY,1
chebonaparte,chebonaparte,32,,1
CheweyBoi08,CheweyBoi08,49,GB,1
Chewy2490,Chewy2490,72,GB,1
CheZterX,CheZterX,73,TH,1
ChicoGalucio,ChicoGalucio,110,BR,1
ChillAlexWorld,ChillAlexWorld,32,RO,0
Chillingdoor8,ChillingDoor8,37,US,1
ChillMees2011,ChillMees2011,75,NL,1
Chingizcan,,,,0
ChipDip710,ChipDip710,96,CA,1
Chooper36,Chooper36,91,AT,1
ChristoffersStoreKugler,ChristoffersStoreKugler,86,DK,1
ChromeKhaos,ChromeKhaos,64,US,1
chroniccloud,,,,0
ChyaBrap,ChyaBrap,105,CA,1
CIRUJANOCEREBRAL,CIRUJANOCEREBRAL,106,AR,1
CJSchmitz,CJSchmitz,110,BR,1
claas8900,claas8900,73,DE,1
Clanwolf,Clanwolf,99,DE,1
Clean_speak,Clean_speak,60,US,1
CobraHai,CobraHai,80,DE,1
COCA1N3,COCA1N3,75,PL,1
COCOGLAM,COCOGLAM,44,US,0
Colorswift,Colorswift,20,,1
concha,concha,2,AR,0
Conrad57,Conrad57,106,IT,1
CordialWhirlpoolChampioness,CordialWhirlpoolChampioness,10,TR,0
corpse115,,,,0
cortex456,,,,0
Cortsie,cortsie,43,AU,1
Cosmicsledge,CosmicSledge,106,ZA,1
Cossie32,Cossie32,25,AU,1
CountryCutieTV,,,,0
Cowkiller,Cowkiller,52,US,1
Cpt Cod Eye,,,,0
Cpt_Leukos,Cpt_Leukos,64,GR,1
CptnLongstroke,CptnLongstroke,74,US,1
CRACOLOLO,CRACOLOLO,93,ES,1
Craigy,Craigy,43,US,1
CraKyOFFITOP,CraKyOFFITOP,40,US,0
crasher1275,crasher1275,26,,1
CRAWLSPACE,crawlspace,90,US,1
CrazyQuestAngler,CrazyQuestAngler,110,US,1
crimepickle09,crimepickle09,57,US,1
crison9,Crison9,101,ES,1
croky1000,croky1000,83,EE,1
Cronenburg,Cronenburg,88,AU,1
CrucianCarpHard55,CrucianCarpHard55,66,UA,1
Cruzbear909,Cruzbear909,58,CA,1
crybaby_2008,crybaby_2008,49,EC,0
csabec1,csabec1,58,,1
csabi10,csabi10,110,HU,1
CunningFoxAVO,CunningFoxAVO,78,,1
Cvm_Slvt69,Cvm_Slvt69,75,US,1
Cyberyeka,Cyberyeka,82,ES,1
CypherVX,CypherVX,105,AR,1
CzarusWedkarz,CzarusWedkarz,64,TR,1
D0k1n3k,D0k1n3k,49,PL,1
D103,D103,68,GE,1
D4rkzge,D4rkzge,72,BR,1
DackelGamerHD,DackelGamerHD,92,DE,1
Daddy_Sav_DK,Daddy_Sav_DK,83,DK,1
DaddyApache,DaddyApache,110,US,1
Daethren,Daethren,17,CA,1
Dafesa,Dafesa,88,CR,1
Daggor,Daggor,41,US,1
Dalargas,Dalargas,64,KZ,1
Damien_E1,Damien_E1,49,AU,1
damp,damp,4,GB,0
Danadinho,Danadinho,53,BR,1
Daniel_Pescador2,,,,0
danielittie,danielittie,39,US,1
DaniloReis9,DaniloReis9,98,BR,1
DANNICOLASFH,DannicolasFH,79,RO,1
DanteM321,DanteM321,107,ZA,1
DaRealBabyYoda,DaRealBabyYoda,34,NL,1
darkben666,darkben666,62,BR,1
DarkBreakwaterSaint,DarkBreakwaterSaint,94,FR,1
DarkEventCaptain58,DarkEventCaptain58,39,US,1
DarkeyBarkey,DarkeyBarkey,62,CA,0
DarkMir,DarkMir,77,RU,0
DarkNetDaddy,DarkNetDaddy,88,DE,1
DarkPerchProphet43,DarkPerchProphet43,53,US,1
darmaissme,darmaissme,58,ID,1
DarthAwesome,DarthAwesome,101,SE,1
DatCuBuu,DatCubuu,56,VN,1
Dav2sv,Dav2sv,66,IT,1
dav45200,,,,0
Davidd_rzz,Davidd_rzz,101,MX,1
DAVIDiLYNCH,DAVIDiLYNCH,107,PL,1
DavidYW2,DavidYW2,4,ES,0
DawnShrek,DawnShrek,42,PT,1
Daxxes,,,,0
dbltalk73,dbltalk73,110,US,1
dc-maxdomino980,dc-maxdomino980,50,PL,1
deadboy341,deadboy341,51,US,1
DeaDsh0t_YY,DeaDsh0t_YY,100,BY,1
death_666_walker,death_666_walker,108,AU,1
DeathMachineUA _gaming,,,,0
DeclanWalsh,DeclanWalsh,42,US,1
Deephunter302,DeepHunter302,86,US,1
Delayala,,,,0
demianx3,demianx3,58,AR,1
demonicdragon,demonicdragon,97,GB,1
Demonicsir,DemonicSir,63,US,1
Den_Nesta,Den_Nesta,83,NL,1
DeniseSantos_007,,,,0
Derpy_derg20,Derpy_derg20,46,AU,1
DesmondBenjamin44,DesmondBenjamin44,20,ES,0
DeSSman,DeSSman,28,KZ,0
Destry,Destry,4,US,0
Detilly,Detilly,17,CA,0
dhpdude,DHPdude,103,RS,1
Difegliano,Difegliano,101,DE,1
dillonator610,,,,0
DimasGG,DimasGG,106,UA,1
Dinozz0,Dinozz0,108,,1
DirkStarbuck,DirkStarbuck,84,IT,1
Disc-manfromthesouth3 fp MrTroyMan,,,,0
DJ Truck Driver,,,,0
Dj.Step.77,DJ.Step.77,110,BR,1
djack973,djack973,110,GF,1
DJengo8675,DJengo8675,26,US,1
DJHERBAL,DJHERBAL,56,HU,1
Djrudz,,,,0
DNBL,DNBL,91,JP,1
Doctor-Law,,,,0
doggo,DOGGO,2,,0
dogofisherman-4,dogofisherman-4,36,SI,0
Dompag,Dompag,56,FR,0
Doom_Ray,Doom_Ray,66,UA,1
dope guy,,,,0
dorigonn,dorigonn,72,BR,1
Dougzao,DouGzao,77,BR,1
Dr.Opupennies,Dr.Opupennies,51,DE,1
Dr1zzyDrake,Dr1zzyDrake,68,US,1
Dragonfish12,dragonfish12,106,PL,1
Dragonikow,Dragonikow,23,DE,1
drakoland,drakoland,85,BE,1
drchickenz,drchickenz,79,AU,1
DrewTheAnglerV2,DrewTheAnglerV2,101,PH,1
drpuddlesthefisherman,DrPuddlesTheFisherman,80,US,1
DUB_SOULJA74,DUB_SOULJA74,102,ZA,1
DuckeyTM,DuckeyTM,57,AU,1
dude90,dude90,58,ZA,1
Đuka99,,,,0
dunghihi,,,,0
DuriBambit,DuriBambit,109,ID,1
DuskyTarponSeeker,DuskyTarponSeeker,44,US,1
Dux,Dux,2,,0
DUYVUACAUCAVN,DUYVUACAUCAVN,35,VN,0
DwayneXO,DwayneXO,57,AU,1
DwhiteG,,,,0
DXLUSIXNAL Skettyjr,,,,0
Dyperdan,Dyperdan,63,US,1
DziadekG70,dziadekG70,110,PL,1
dziki-obdyp,dziki-obdyp,99,PL,1
EAC-Palavino,EAC-Palavino,63,NL,1
EagleDark,EagleDark,96,FR,1
Eanruig,Eanruig,99,GB,1
ecco500,ecco500,56,PL,1
Edukoi,Edukoi,107,BR,1
Egrick,Egrick,49,UA,1
Eightnbait,Eightnbait,90,US,1
Ekbalam,Ekbalam,37,GR,1
eKO_o,eKO_o,105,ES,1
el_arsacio,el_arsacio,110,ES,1
EL_SALTINE,EL_SALTINE,73,US,1
ElaraCytheria,ElaraCytheria,65,KZ,1
elcirulo69,,,,0
ELD4R,ELD4R,77,BA,0
Elemerri,Elemerri,22,FI,1
elgatitoramon,elgatitoramon,88,AR,1
Elijah32,Elijah32,96,US,0
Elisa82a,Elisa82a,33,ID,0
Eljoakos,eljoakos,53,CL,1
ElMemazo55,ElMemazo55,31,MX,0
elmiedoso31,elmiedoso31,35,ES,0
ElMister11,ElMister11,92,UY,1
Elton-The-Angler,Elton-The-Angler,110,SE,1
EmberWolf84,EmberWolf84,88,,1
EmeraldLakeButcher,EmeraldLakeButcher,61,AU,1
emgaithoa,emgaithoa,83,VN,1
EmperorOfEvereste,EmperorOfEvereste,95,US,1
EnlightedWhitefishPrince,,,,0
EnourmosGarHunter,,,,0
Erik2541,Erik2541,57,CZ,0
erik-kanciano,erik-kanciano,54,PL,1
Errenn,Errenn,90,ID,1
ErwinNau,ErwinNau,94,PY,1
Estep,Estep,84,US,1
Ethan_Aubin,Ethan_Aubin,75,ES,1
Eusderf,Eusderf,43,AU,1
EVEREST92,EVEREST92,88,UA,1
Evergreen414,Evergreen414,76,US,1
EvoBloem,EvoBloem,62,ZA,1
Excellentshoreviking,ExcellentShoreViking,110,ZA,1
ExigoLT,ExigoLT,51,,1
Exodus62,Exodus62,10,US,0
Exono1,Exono1,16,GB,1
ExtraBright,ExtraBright,75,ID,1
exxile,eXXile,7,NO,0
Eziox22,Eziox22,84,US,1
ezrayk,ezrayk,40,US,0
F,,,,0
F0rtis,F0rtis,110,RS,1
f1lipekXDXD,f1lipekXDXD,16,PL,1
FabulousEelMercenary,FabulousEelMercenary,54,US,1
FabulousFishFinderFreddy809,FabulousFishFinderFreddy809,78,US,1
FabulousPerchSaint49,FabulousPerchSaint49,84,JP,0
FabulousRoachLord52,FabulousRoachLord52,37,US,1
falcon311,falcon311,98,GB,1
FalleN_NTC,FalleN_NTC,96,RU,1
FantasicPerchDaddy62,,,,0
FantasticRoachGainer32,FantasticRoachGainer32,67,BE,1
"far5915 in fishing planet game, Galaxia90 on steam",,,,0
Farmingtrucker74,FarmingTrucker74,99,US,1
FartNugget62,fartnugget62,36,US,0
fascagat,,,,0
FatalStrategy,FatalStrategy,25,,1
FatBuu,FatBuu,81,US,1
fatefulkrom,fatefulkrom,90,US,1
FavoriteUSA,FavoriteUSA,110,US,1
FeartheReaper,FearTheReaper,18,US,1
FeartheReaper83,FeartheReaper83,105,DE,1
fedupconsumer,,,,0
feenz,feenz,110,AU,1
Feleflix,Feleflix,23,DE,1
Femboy_Thighs,Femboy_Thighs,74,NL,1
Feramon4ik54,Feramon4ik54,76,KZ,1
Fermekatul,,,,0
Fetan,Fetan,76,CZ,1
fett_finger,fett_finger,94,DE,1
fewein,fewein,75,UA,1
Ffizzyy,Ffizzyy,39,ID,1
Fibalipasos6,Fibalipasos6,70,PL,1
fidelius,fidelius,85,HR,1
Fifty9er,Fifty9er,105,US,1
FinalPantasy,FinalPantasy,19,,0
FinalXkbox,FinalXkbox,106,ES,1
finn030.12,finn030.12,95,DE,1
fireimages93,,,,0
firenightwolf25,firenightwolf25,70,NL,1
Fischgarten,Fischgarten,103,DE,1
FischHunter90,FischHunter90,87,DE,1
Fisgada_Neles,Fisgada_Neles,18,BR,0
Fish-Destroyer4,fish-destroyer4,42,GB,1
FisherDolmas,FisherDolmas,77,GR,1
fisherman serbia,,,,0
FishermanSumpt,FishermanSumpt,55,US,1
fishersvalley123,,,,0
fisheye_07,fisheye_07,64,AT,1
Fishie_Fishie,Fishie_Fishie,110,PL,1
Fishing planaet (Edupu) Steam (R.D.A),,,,0
Fishing planet nickname: Prost_Plovs  Steam nickname: Pizza_slice,,,,0
Fishing Planet username is Toyotaguy,,,,0
Fishing planet: D4B0mb        Discord: d4bomb,,,,0
Fishing_Art,Fishing_Art,74,CU,0
Fishing_Chow,Fishing_Chow,110,NL,1
Fishing_Guru68,Fishing_Guru68,106,GB,1
Fishingangus,Fishingangus,94,GB,1
fishinggod678,Fishinggod678,25,US,1
FishingLegend83,FishingLegend83,89,AR,1
FishinInDa808,FishinInDa808,81,US,1
fishio013,fishio013,41,US,0
fishioslady420,Fishioslady420,40,US,0
FishMan_dave,FishMan_dave,87,GB,1
fishsthick123,,,,0
FitaSuperAderente,FitaSuperAderente,30,BR,1
FIxieIsMonk (Fishing Planet) ourguiltandregret (discord),,,,0
FixieIsMonk (if fishing planet account) Fixie (if discord),,,,0
Fla1lydem0n,Fla1lydem0n,96,DE,1
Flamehammer,Flamehammer,105,UA,1
FlamingSunspot,,,,0
FlawedLemming,FlawedLemming,43,NL,1
Fleshka2284,Fleshka2284,68,US,1
Flixeris,FliXeRiS,11,LT,0
floppingcarp1,floppingcarp1,82,US,1
Flow2me,Flow2me,97,NL,1
FluidHarborDaddy,FluidHarborDaddy,94,US,1
FluidSwellScoutUA,FluidSwellScoutUA,96,UA,1
Flyaum,Flyaum,110,DE,1
FlyFisher72,Flyfisher72,110,CA,1
FOCRJ,FOCRJ,108,BR,1
foesleitner.roland,,,,0
FOGGIA1920,FOGGIA1920,110,IT,0
FootMeat,FootMeat,85,US,0
Footmob,Footmob,70,RU,1
Force_Element,Force_Element,87,US,1
ForeverNewbie,ForeverNewbie,76,MY,1
forgamen14,forgamen14,78,TH,1
FormerFishFarmer,FormerFishFarmer,69,US,1
Foxiii,Foxiii,110,FR,1
FoxThorn,FoxThorn,73,CZ,1
fran_phy,fran_phy,85,GB,1
Franck.59,Franck.59,43,FR,0
FrankTheTank,Frankthetank,5,,0
FranTron,,,,0
Franz-Feeder,Franz-Feeder,110,IT,1
freddy2440,freddy2440,82,FR,1
freddyhb,freddyhb,110,DE,1
Frederick23k7,,,,0
FreeFire_270,FreeFire_270,75,CA,1
FREROT,FREROT,27,PT,1
frocek123,frocek123,7,SI,0
froggy163,froggy163,109,AU,1
FrugoAZM,FrugoAZM,110,PL,1
ftp_ryne,,,,0
FU_berto56,FU_Berto56,104,US,1
FU_BlackPlague,FU_BlackPlague,107,US,1
FU_Maximus,FU_Maximus,82,US,1
FU_TWILIGHT,FU_TWILIGHT,110,ID,1
fuciorek,fuciorek,89,PL,1
FuliS099,FuliS099,45,ES,1
Fzaa1990TH,Fzaa1990TH,78,TH,1
ga1078,ga1078,96,US,0
Gaetswdz,gaetswdz,64,FR,1
gagisanin83,gagisanin83,85,RS,1
Galletita13,Galletita13,108,ES,1
Gambit2313,Gambit2313,110,DE,1
Gamerzetrue,Gamerzetrue,47,UY,1
gamosom,,,,0
Ganesha_X_Kali,Ganesha_X_Kali,50,DE,1
Garfild_UA,Garfild_UA,29,UA,1
Gatto666,Gatto666,84,AR,1
gcalberto,gcalberto,110,BR,1
gdstew,gdstew,82,US,1
Gdub305,Gdub305,40,US,1
GeLoKoGamer,GeLokoGamer,90,BR,1
Genekastner,genekastner,86,US,1
GeneralElite18,GeneralElite18,101,US,1
GeneralKlinch,GeneralKlinch,102,US,1
GeneralRD,GeneralRD,64,ES,1
GenghisKhan_101,GenghisKhan_101,92,US,1
Genketh,Genketh,43,SE,1
geoff311,,,,0
Georgie3333,,,,0
GeraldBatesX,GeraldbatesX,89,US,1
GertJM,GertJM,64,NL,1
GETSOMEDAVE,GetSomeDave,39,US,0
GGQfullsend,GGQfullsend,77,US,1
Ghost,Ghost,27,UA,1
Ghost_1483,Ghost_1483,110,AR,1
Ghost_2,Ghost_2,24,US,1
GillFister,GillFister,29,US,1
Ginja30,,,,0
Givrally,Givrally,48,FR,1
gkko321,gkko321,35,NL,0
Gkuba1999@gmail.com,,,,0
gldavis77,,,,0
Gloomybayoutlaw,GloomyBayOutlaw,110,ES,1
gman1125,gman1125,68,US,1
Gman18,Gman18,83,US,1
Godbrand3,Godbrand3,74,US,1
GodInuyasha,GodInuyasha,62,,1
Goldarion,goldarion,110,ID,1
GoldCyprinus,GoldCyprinus,109,US,1
goldenfisher38,Goldenfisher38,88,PR,1
Goliaths,Goliaths,65,US,1
gombi10k,gombi10k,23,HU,1
gooner_legend21,gooner_legend21,30,CY,1
Gooni3Games,Gooni3Games,85,,1
Gooseman81,Gooseman81,95,,1
GooseTownGov,GooseTownGov,71,US,1
Gordo2859,gordo2859,38,CA,1
gparrow,,,,0
GrampycoloN,GrampycoloN,106,CN,1
Grandpapa62,Grandpapa62,90,CA,1
Grankhoudbeat,Grankhoudbeat,76,FR,1
GraybeardEthics,GraybeardEthics,90,CA,1
graysalmondaddy79,GraySalmonDaddy79,39,US,1
Graysky1978,Graysky1978,108,IT,1
GrayTroutBobber13,GrayTroutBobber13,89,GB,1
Great Bear Lake N.W. Territories Canada,,,,0
greedydevsstopmakingpaidDLC's,,,,0
GreekFisherman2012,GreekFisherman2012,27,GR,1
GreenBassSultan,GreenBassSultan,86,US,1
Greenjoy,Greenjoy,83,UA,1
